GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Main,reader_writer,Resource,117,38,4,0,26,7,6,1,4,1
Main,reader_writer,Main,44,11,4,0,10,3,3,3,1,3
Main,reader_writer.people,Human,17,0,0,0,9,0,4,0,4,0
Main,reader_writer.people,Readers,41,0,0,0,12,0,2,0,2,0
Main,reader_writer.people,Writers,41,0,0,0,12,0,2,0,2,0
